iter	Passed	Remaining
0	0	67
1	1	59
2	1	56
3	2	51
4	2	50
5	3	49
6	3	48
7	4	48
8	4	48
9	5	48
10	5	47
11	6	47
12	6	46
13	7	45
14	7	45
15	8	44
16	9	44
17	9	44
18	10	43
19	10	43
20	11	42
21	11	41
22	12	41
23	12	41
24	13	40
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	17	36
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	27
48	25	26
49	26	26
50	26	25
51	27	24
52	27	24
53	28	24
54	29	23
55	30	23
56	30	23
57	31	22
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	16
72	41	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	54	2
95	54	2
96	55	1
97	56	1
98	56	0
99	57	0
