iter	Passed	Remaining
0	139	139571
1	140	70222
2	141	47176
3	142	35545
4	143	28560
5	144	23910
6	145	20632
7	146	18216
8	147	16249
9	148	14745
10	152	13745
11	153	12656
12	154	11715
13	154	10911
14	155	10215
15	156	9602
16	156	9061
17	157	8581
18	157	8154
19	158	7766
20	159	7423
21	160	7116
22	160	6835
23	161	6568
24	162	6320
25	162	6093
26	163	5883
27	163	5687
28	164	5505
29	165	5335
30	165	5177
31	166	5039
32	167	4909
33	169	4809
34	170	4697
35	171	4585
36	171	4472
37	172	4367
38	173	4266
39	173	4169
40	174	4079
41	175	3992
42	175	3909
43	176	3837
44	177	3766
45	178	3693
46	178	3623
47	179	3556
48	179	3492
49	180	3430
50	181	3373
51	182	3319
52	183	3273
53	184	3228
54	185	3184
55	186	3136
56	186	3091
57	187	3051
58	188	3008
59	189	2963
60	189	2920
61	190	2880
62	190	2840
63	191	2804
64	192	2774
65	193	2737
66	193	2701
67	194	2668
68	195	2637
69	196	2607
70	196	2576
71	197	2549
72	198	2523
73	199	2496
74	200	2469
75	200	2441
76	201	2417
77	202	2393
78	203	2368
79	203	2343
80	204	2321
81	205	2298
82	205	2272
83	206	2255
84	207	2235
85	208	2215
86	209	2199
87	210	2179
88	211	2160
89	211	2141
90	212	2122
91	213	2109
92	214	2091
93	215	2073
94	215	2054
95	216	2036
96	216	2018
97	217	2000
98	217	1982
99	218	1966
100	219	1949
101	219	1933
102	220	1917
103	220	1900
104	221	1885
105	221	1870
106	222	1856
107	223	1842
108	223	1828
109	224	1815
110	224	1801
111	225	1788
112	226	1775
113	226	1762
114	227	1751
115	228	1740
116	229	1728
117	229	1716
118	230	1704
119	230	1692
120	231	1679
121	231	1666
122	232	1655
123	232	1645
124	233	1635
125	234	1624
126	234	1613
127	235	1603
128	236	1593
129	236	1583
130	237	1573
131	237	1563
132	238	1553
133	238	1543
134	239	1533
135	239	1524
136	240	1514
137	240	1505
138	241	1497
139	242	1489
140	243	1481
141	243	1471
142	244	1463
143	244	1454
144	245	1446
145	245	1437
146	246	1429
147	246	1421
148	247	1414
149	248	1408
150	249	1400
151	249	1393
152	250	1385
153	250	1378
154	251	1371
155	252	1364
156	252	1357
157	253	1349
158	253	1342
159	254	1335
160	254	1327
161	255	1321
162	256	1315
163	256	1308
164	258	1307
165	259	1302
166	259	1295
167	260	1289
168	261	1284
169	262	1279
170	262	1273
171	263	1267
172	263	1261
173	264	1256
174	265	1251
175	265	1245
176	266	1239
177	267	1233
178	267	1227
179	268	1221
180	268	1215
181	269	1209
182	269	1204
183	270	1198
184	270	1193
185	271	1187
186	272	1183
187	273	1180
188	273	1175
189	274	1170
190	274	1164
191	275	1159
192	276	1154
193	276	1149
194	277	1144
195	277	1139
196	278	1134
197	278	1129
198	279	1124
199	279	1119
200	280	1114
201	280	1109
202	281	1105
203	282	1100
204	282	1095
205	283	1090
206	283	1086
207	284	1082
208	284	1078
209	285	1073
210	285	1069
211	286	1064
212	286	1060
213	287	1056
214	288	1052
215	288	1048
216	289	1044
217	289	1040
218	290	1035
219	291	1031
220	291	1027
221	291	1023
222	292	1019
223	292	1015
224	293	1010
225	293	1006
226	294	1002
227	294	998
228	295	994
229	295	990
230	296	986
231	297	983
232	297	979
233	298	975
234	298	972
235	299	968
236	299	964
237	300	961
238	300	957
239	301	953
240	301	950
241	302	947
242	303	944
243	303	941
244	304	937
245	304	934
246	305	930
247	305	927
248	306	923
249	306	920
250	307	916
251	307	913
252	308	910
253	308	906
254	309	903
255	309	900
256	310	896
257	310	893
258	311	890
259	311	887
260	312	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	868
266	315	865
267	315	862
268	316	859
269	316	856
270	317	853
271	318	851
272	318	848
273	319	845
274	319	842
275	320	839
276	320	836
277	321	834
278	321	831
279	322	828
280	322	825
281	323	822
282	323	819
283	324	816
284	324	814
285	325	811
286	325	808
287	326	806
288	326	803
289	327	800
290	327	798
291	328	795
292	328	793
293	329	790
294	329	787
295	330	785
296	330	782
297	331	780
298	331	778
299	333	777
300	334	775
301	334	773
302	335	771
303	335	768
304	336	766
305	336	763
306	337	761
307	337	759
308	338	756
309	338	754
310	339	752
311	339	749
312	340	747
313	341	745
314	341	742
315	342	740
316	342	738
317	343	735
318	343	733
319	344	731
320	344	728
321	345	726
322	345	724
323	346	722
324	346	720
325	347	717
326	347	715
327	348	713
328	349	711
329	349	709
330	350	707
331	350	705
332	351	703
333	351	701
334	352	699
335	352	697
336	353	695
337	353	692
338	354	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	357	676
346	358	674
347	358	671
348	359	669
349	359	667
350	360	665
351	360	664
352	361	662
353	361	660
354	362	658
355	363	656
356	363	655
357	364	653
358	365	652
359	365	650
360	366	648
361	366	646
362	367	644
363	367	642
364	368	640
365	368	638
366	369	636
367	369	635
368	370	633
369	370	631
370	371	629
371	371	627
372	372	625
373	372	624
374	373	622
375	373	620
376	374	618
377	375	617
378	375	615
379	376	613
380	376	611
381	377	610
382	377	608
383	378	606
384	378	605
385	379	603
386	379	601
387	380	600
388	381	598
389	381	596
390	382	595
391	382	593
392	383	591
393	383	589
394	383	588
395	384	586
396	384	584
397	385	582
398	385	581
399	386	579
400	387	578
401	387	576
402	388	574
403	388	573
404	389	571
405	389	570
406	390	569
407	391	567
408	391	565
409	392	564
410	392	562
411	393	561
412	394	560
413	394	558
414	395	557
415	395	555
416	396	554
417	396	552
